name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,899232,26353,4.56s,112.11us,0.00ns,113.76us,9.39us,101.27us,295.04us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,899232,6545,4.51s,456.18us,0.00ns,458.36us,11.65us,445.69us,613.45us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,1570556,1675,4.51s,1.79ms,0.00ns,1.79ms,12.37us,1.78ms,1.94ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,1570556,3989,4.56s,750.53us,0.00ns,752.04us,10.53us,737.65us,925.70us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,813478,10416,4.51s,287.69us,0.00ns,287.96us,2.61us,285.28us,382.92us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,899232,4299,4.51s,695.98us,0.00ns,697.89us,12.35us,679.72us,890.57us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,899232,3946,4.56s,759.14us,3.00ns,760.19us,14.09us,721.00us,0.96ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,1570556,2953,4.51s,1.01ms,0.00ns,1.02ms,14.62us,0.99ms,1.17ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,1570556,2757,4.51s,1.09ms,0.00ns,1.09ms,19.16us,1.05ms,1.61ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),d/ldc/std-regex,2.111,,813478,7933,4.51s,377.59us,0.00ns,378.12us,4.80us,370.83us,548.73us
