name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,899232,60276,4.61s,49.60us,0.00ns,49.62us,1.07us,47.90us,175.10us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,899232,64930,4.61s,45.90us,0.00ns,46.05us,891.00ns,44.80us,166.40us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,1570556,59183,4.61s,50.20us,0.00ns,50.54us,1.10us,49.60us,166.80us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,1570556,26541,4.56s,112.50us,0.00ns,112.88us,2.21us,111.40us,248.00us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,813478,188066,4.67s,15.80us,0.00ns,15.83us,427.00ns,15.20us,133.90us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,899232,15753,4.56s,189.10us,0.00ns,190.08us,3.74us,186.40us,369.30us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,899232,26681,4.61s,111.80us,0.00ns,112.28us,2.44us,104.60us,233.30us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,1570556,2297,4.56s,1.31ms,0.00ns,1.31ms,4.81us,1.30ms,1.42ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,1570556,2579,4.56s,1.16ms,0.00ns,1.16ms,4.58us,1.16ms,1.28ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,813478,108184,4.62s,27.60us,0.00ns,27.61us,694.00ns,26.80us,144.60us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,268796,14,4.76s,229.86ms,37.35us,223.61ms,7.36ms,214.62ms,230.07ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),dotnet/compiled,10.0.0,,268796,14,5.01s,229.54ms,1.15us,229.54ms,56.74us,229.43ms,229.63ms
