name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,899232,47279,4.61s,62.30us,0.00ns,63.29us,2.30us,61.40us,237.20us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,899232,32209,4.61s,92.10us,0.00ns,93.00us,3.02us,89.40us,268.30us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,1570556,38812,4.61s,76.20us,0.00ns,77.14us,1.97us,75.10us,180.10us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,1570556,17769,4.61s,167.60us,0.00ns,168.42us,3.34us,165.50us,291.60us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,813478,197154,4.67s,15.00us,0.00ns,15.09us,514.00ns,14.60us,134.30us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,899232,10363,4.61s,287.00us,0.00ns,288.82us,7.00us,280.30us,404.40us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,899232,18926,4.61s,156.50us,0.00ns,158.07us,5.22us,151.10us,273.30us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,1570556,1241,4.56s,2.42ms,0.00ns,2.42ms,25.20us,2.36ms,2.56ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,1570556,346,4.61s,8.69ms,0.00ns,8.69ms,23.88us,8.61ms,8.82ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,813478,101822,4.62s,29.20us,0.00ns,29.34us,909.00ns,28.40us,147.30us
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,32514634,63,4.66s,48.07ms,0.00ns,47.78ms,618.50us,46.90ms,49.42ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,32514634,77,4.66s,39.57ms,0.00ns,39.38ms,800.73us,38.18ms,40.53ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,,9250,4.56s,249.90us,0.00ns,308.44us,195.43us,226.60us,3.32ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,107,1000000,1.64s,400.00ns,0.00ns,402.00ns,57.00ns,300.00ns,42.50us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,102,1000000,1.64s,400.00ns,0.00ns,402.00ns,78.00ns,300.00ns,68.40us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,10001,88694,4.61s,33.70us,0.00ns,33.71us,768.00ns,32.30us,148.40us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,1913704,67,4.61s,45.14ms,0.00ns,45.20ms,612.69us,44.75ms,49.89ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,,23837,4.56s,87.80us,0.00ns,90.59us,14.44us,75.90us,729.60us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,76401,2944,4.56s,1.02ms,0.00ns,1.02ms,21.97us,0.98ms,1.16ms
curated/08-words/all-russian,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,123942,3395,4.56s,879.00us,0.00ns,883.63us,17.91us,853.10us,1.00ms
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,76401,7509,4.56s,395.10us,0.00ns,399.36us,11.48us,383.00us,561.90us
curated/08-words/long-russian,count-spans,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,123942,5318,4.56s,561.80us,0.00ns,563.99us,11.71us,546.20us,678.00us
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,32514634,105,4.61s,28.89ms,0.00ns,28.76ms,430.33us,27.64ms,29.23ms
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,,20305,4.56s,117.40us,0.00ns,125.34us,43.70us,98.90us,660.10us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,151522,3785,4.56s,791.70us,0.00ns,792.58us,25.20us,751.20us,906.80us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,248919,2840,4.56s,1.05ms,0.00ns,1.06ms,29.72us,1.00ms,1.24ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,7384531,27,4.61s,107.21ms,0.00ns,111.18ms,7.01ms,106.44ms,124.19ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,7384531,280,4.56s,10.71ms,250.00ns,10.73ms,76.73us,10.57ms,11.11ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,,11157,4.56s,116.90us,0.00ns,126.03us,53.94us,103.90us,543.90us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,,32343,4.56s,21.50us,0.00ns,23.16us,11.87us,19.30us,258.20us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,23952,5189,4.56s,576.00us,0.00ns,578.08us,10.31us,559.30us,741.40us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,,5047,4.56s,359.30us,0.00ns,467.38us,410.92us,315.80us,4.15ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,100,318677,4.73s,9.30us,0.00ns,9.30us,381.00ns,9.00us,125.50us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,200,88573,4.62s,33.60us,0.00ns,33.76us,913.00ns,32.90us,147.90us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),dotnet/nobacktrack,10.0.0,,1000,3603,4.56s,832.20us,0.00ns,832.53us,5.02us,821.80us,0.95ms
