name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,899232,14678,4.51s,198.26us,0.00ns,204.34us,32.26us,186.86us,628.55us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,899232,162,4.56s,18.54ms,1.15us,18.54ms,74.30us,18.34ms,18.91ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,1570556,4243,4.51s,696.74us,0.00ns,707.14us,47.22us,671.21us,1.40ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,1570556,98,4.56s,30.82ms,82.00ns,30.85ms,134.63us,30.67ms,31.42ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,813478,8142,4.51s,360.35us,0.00ns,368.43us,14.10us,354.88us,591.56us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,899232,100,4.56s,30.15ms,13.38us,30.17ms,335.34us,29.45ms,31.10ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,899232,59,4.56s,50.77ms,0.00ns,50.89ms,576.88us,50.01ms,52.19ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,1570556,74,4.56s,40.76ms,4.09us,40.79ms,343.51us,39.56ms,41.46ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,1570556,26,4.66s,118.11ms,4.06us,118.15ms,296.26us,117.72ms,119.34ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,813478,201,4.56s,14.88ms,0.00ns,14.97ms,1.13ms,14.12ms,30.50ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,268796,4,5.77s,0.98s,35.89ms,0.97s,51.63ms,903.38ms,1.03s
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,,2317,4.51s,1.14ms,0.00ns,1.17ms,247.83us,750.81us,1.87ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,32514634,4,5.56s,917.04ms,4.10us,916.88ms,775.74us,915.65ms,917.79ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),go/regexp,1.25.4,,32514634,72,4.56s,42.00ms,1.88us,41.83ms,658.60us,40.04ms,42.91ms
