name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,899232,113550,4.57s,26.19us,0.00ns,26.38us,893.00ns,25.12us,141.56us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,899232,103615,4.57s,28.69us,0.00ns,28.92us,0.95us,27.55us,144.23us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,1570556,8755,4.51s,342.45us,0.00ns,342.66us,2.60us,338.79us,457.81us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,1570556,15207,4.51s,196.76us,0.00ns,197.25us,3.67us,189.69us,331.55us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,813478,177660,4.57s,16.82us,0.00ns,16.85us,437.00ns,16.42us,130.51us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,899232,49428,4.56s,60.59us,0.00ns,60.66us,2.30us,55.45us,180.75us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,899232,47756,4.56s,62.65us,0.00ns,62.79us,2.46us,57.62us,180.89us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,1570556,9409,4.51s,317.94us,0.00ns,318.84us,5.07us,312.77us,465.26us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,1570556,8087,4.56s,369.92us,0.00ns,370.96us,4.66us,362.21us,486.24us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,813478,78077,4.56s,38.25us,0.00ns,38.38us,928.00ns,37.87us,208.97us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,268796,1216,4.91s,2.47ms,5.00ns,2.47ms,13.36us,2.44ms,2.59ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,5,5.16s,642.13ms,0.00ns,642.77ms,1.49ms,641.46ms,645.65ms
curated/05-lexer-veryl/multi,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,150600,373,4.56s,8.05ms,0.00ns,8.05ms,44.87us,7.95ms,8.25ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,107,1000000,2.79s,1.20us,0.00ns,1.20us,101.00ns,1.11us,65.59us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,102,1000000,2.74s,1.18us,0.00ns,1.19us,140.00ns,1.11us,116.31us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,10001,25619,4.51s,114.99us,0.00ns,117.07us,4.61us,106.84us,255.04us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,76401,6498,4.51s,461.21us,1.00ns,461.71us,4.93us,447.93us,601.56us
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,76401,18067,4.51s,165.82us,0.00ns,166.02us,1.71us,161.84us,280.72us
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,32514634,128,4.56s,23.47ms,350.00ns,23.48ms,95.63us,23.35ms,24.21ms
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,449,4.51s,6.66ms,0.00ns,6.67ms,36.13us,6.58ms,6.78ms
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,151522,15233,4.51s,196.73us,0.00ns,196.92us,2.03us,192.88us,311.37us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,248919,3391,4.81s,882.98us,0.00ns,884.80us,8.58us,868.92us,1.00ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,7384531,212,4.56s,14.15ms,33.00ns,14.15ms,21.03us,14.11ms,14.31ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,7384531,1168,4.51s,2.57ms,32.00ns,2.57ms,13.51us,2.55ms,2.67ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,122,4.56s,24.62ms,569.00ns,24.63ms,52.32us,24.54ms,24.89ms
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,4631,4.51s,644.90us,0.00ns,645.21us,6.23us,626.31us,768.82us
curated/12-dictionary/multi,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,61436,415792,4.72s,7.12us,0.00ns,7.19us,346.00ns,6.67us,123.53us
curated/12-dictionary/compile-multi,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,153,4.56s,19.62ms,0.00ns,19.70ms,243.53us,19.46ms,20.53ms
curated/13-noseyparker/single,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,32514634,426,4.76s,7.05ms,14.00ns,7.06ms,35.84us,7.01ms,7.43ms
curated/13-noseyparker/multi,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,32514634,425,4.71s,7.07ms,0.00ns,7.07ms,24.92us,7.03ms,7.24ms
curated/13-noseyparker/compile-single,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,15,4.91s,212.42ms,0.00ns,212.47ms,322.35us,212.00ms,212.95ms
curated/13-noseyparker/compile-multi,compile,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,,23,4.71s,132.96ms,0.00ns,133.00ms,176.16us,132.67ms,133.60ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,100,1000000,1.58s,544.00ns,0.00ns,549.00ns,127.00ns,483.00ns,118.98us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,200,1000000,2.54s,1.07us,0.00ns,1.08us,148.00ns,0.95us,118.04us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),hyperscan,5.4.2 2023-04-22,,1000,574099,4.72s,5.15us,0.00ns,5.20us,353.00ns,4.71us,121.87us
