name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,899232,6178,4.56s,484.29us,0.00ns,485.63us,9.59us,480.63us,844.14us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,899232,1750,4.51s,1.71ms,0.00ns,1.71ms,15.30us,1.69ms,1.83ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,1570556,7034,4.51s,423.36us,0.00ns,426.48us,26.98us,421.54us,878.33us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,1570556,614,4.56s,4.89ms,61.00ns,4.89ms,27.08us,4.76ms,5.05ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,813478,18728,4.52s,158.71us,0.00ns,160.17us,15.66us,152.78us,393.16us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,899232,2503,4.51s,1.21ms,0.00ns,1.20ms,31.18us,1.16ms,1.34ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,899232,421,4.51s,7.13ms,0.00ns,7.14ms,46.87us,7.04ms,7.32ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,1570556,332,4.56s,9.04ms,64.00ns,9.04ms,19.73us,9.00ms,9.15ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,1570556,222,4.51s,13.52ms,169.00ns,13.52ms,45.40us,13.35ms,13.68ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),icu,72.1.0,,813478,1379,4.51s,2.17ms,0.00ns,2.18ms,9.64us,2.17ms,2.28ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),icu,72.1.0,,268796,4,4.91s,814.01ms,3.37ms,813.98ms,12.69ms,796.33ms,831.57ms
