name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,899232,8220,4.61s,353.30us,1.00ns,364.73us,26.68us,341.92us,516.13us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,899232,926,4.56s,3.24ms,5.00ns,3.24ms,35.45us,3.16ms,3.40ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,1570556,7358,4.61s,388.55us,1.00ns,407.49us,34.98us,375.11us,502.54us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,1570556,422,4.61s,7.11ms,200.00ns,7.11ms,52.09us,7.00ms,7.40ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,813478,20450,4.61s,145.78us,0.00ns,146.59us,3.10us,144.68us,314.90us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,899232,209,4.61s,13.95ms,0.00ns,14.36ms,842.64us,13.44ms,16.07ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,899232,199,4.61s,14.71ms,0.00ns,15.14ms,730.25us,14.51ms,16.93ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,1570556,181,4.61s,16.25ms,0.00ns,16.58ms,678.50us,16.01ms,18.26ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,1570556,111,4.56s,26.96ms,0.00ns,27.03ms,249.43us,26.66ms,27.93ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,813478,559,4.56s,5.21ms,0.00ns,5.37ms,308.46us,5.10ms,6.28ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,268796,25,4.66s,123.52ms,0.00ns,122.95ms,1.18ms,120.63ms,124.50ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,268796,21,4.76s,149.47ms,0.00ns,149.50ms,273.25us,149.09ms,150.52ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,32514634,4,5.31s,815.78ms,4.60ms,816.41ms,5.47ms,810.88ms,823.20ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,32514634,22,5.06s,136.75ms,62.35us,136.45ms,1.26ms,134.26ms,138.44ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,150600,137,4.61s,21.99ms,0.00ns,22.05ms,587.00us,21.23ms,25.57ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,107,266165,5.07s,11.15us,0.00ns,11.24us,7.97us,10.56us,4.03ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,102,272174,5.07s,10.78us,0.00ns,10.99us,1.18us,10.13us,168.92us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,10001,29,4.66s,104.84ms,0.00ns,104.84ms,128.11us,104.49ms,105.05ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,1913704,343,4.61s,8.73ms,0.00ns,8.76ms,192.97us,8.47ms,10.15ms
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,76401,3129,4.61s,0.96ms,0.00ns,0.96ms,17.46us,922.51us,1.06ms
curated/08-words/all-russian,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,123942,3807,4.56s,785.72us,0.00ns,787.88us,10.78us,767.98us,911.14us
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,76401,2910,4.56s,1.03ms,4.00ns,1.03ms,15.85us,1.00ms,1.16ms
curated/08-words/long-russian,count-spans,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,123942,2875,4.61s,1.04ms,0.00ns,1.04ms,8.26us,1.03ms,1.14ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,32514634,4,5.11s,774.90ms,5.16ms,776.44ms,8.01ms,768.14ms,787.83ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,32514634,12,5.06s,258.57ms,156.10us,256.78ms,4.55ms,246.94ms,261.15ms
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,151522,1690,4.56s,1.77ms,2.00ns,1.78ms,35.56us,1.73ms,3.00ms
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,248919,1825,4.61s,1.63ms,0.00ns,1.64ms,32.56us,1.61ms,1.79ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,7384531,30,4.71s,101.54ms,2.15us,101.62ms,358.13us,101.32ms,103.24ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,7384531,54,4.71s,56.25ms,8.43us,56.25ms,164.97us,55.98ms,57.11ms
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,23952,29256,4.66s,101.50us,0.00ns,102.44us,21.27us,97.07us,3.03ms
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,61436,6,5.16s,578.25ms,293.71us,573.36ms,8.48ms,556.62ms,579.48ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,100,289656,5.12s,10.29us,0.00ns,10.33us,1.23us,9.77us,184.03us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,200,77603,4.71s,38.57us,0.00ns,38.61us,1.44us,37.94us,179.59us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),java/hotspot,25.0.1+8-LTS-27,,1000,3774,4.56s,794.45us,1.00ns,794.80us,3.79us,792.67us,908.90us
