name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,899232,21842,4.56s,136.62us,1.00ns,137.06us,3.15us,133.03us,257.90us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,899232,10482,4.56s,281.07us,0.00ns,285.74us,15.66us,271.81us,422.43us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,1570556,82204,4.61s,36.19us,0.00ns,36.29us,1.36us,34.88us,158.66us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,1570556,6776,4.56s,442.85us,0.00ns,442.52us,5.67us,433.05us,633.73us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,813478,42920,4.56s,69.41us,0.00ns,69.69us,1.52us,67.69us,192.48us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,899232,2394,4.56s,1.25ms,1.00ns,1.25ms,14.49us,1.23ms,1.40ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,899232,2327,4.56s,1.29ms,0.00ns,1.29ms,13.24us,1.26ms,1.42ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,1570556,1816,4.56s,1.65ms,5.00ns,1.65ms,15.62us,1.59ms,1.79ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,1570556,1184,4.56s,2.53ms,17.00ns,2.54ms,17.33us,2.46ms,2.64ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,813478,24809,4.56s,120.64us,0.00ns,120.65us,3.44us,114.82us,252.34us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,268796,428,4.56s,6.92ms,1.00us,7.01ms,135.74us,6.86ms,7.47ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,268796,385,4.56s,7.74ms,0.00ns,7.80ms,144.95us,7.63ms,8.34ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,32514634,13,4.91s,235.64ms,0.00ns,239.23ms,8.64ms,231.95ms,263.64ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,32514634,37,4.71s,78.57ms,0.00ns,81.23ms,8.07ms,72.19ms,105.40ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,150600,173,4.56s,17.33ms,0.00ns,17.43ms,163.55us,17.25ms,17.75ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,107,578019,4.83s,4.98us,0.00ns,5.11us,5.70us,4.62us,3.96ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,102,560985,4.83s,5.19us,0.00ns,5.27us,8.52us,5.11us,5.54ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,10001,97,4.56s,30.89ms,0.00ns,31.05ms,1.51ms,29.12ms,33.87ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,1913704,509,4.56s,5.67ms,0.00ns,5.90ms,509.02us,5.58ms,9.74ms
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,76401,6135,4.56s,485.83us,0.00ns,488.84us,15.77us,442.81us,759.21us
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,76401,7266,4.56s,413.61us,1.00ns,412.81us,11.16us,385.71us,531.06us
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,32514634,42,4.71s,69.01ms,28.28us,72.35ms,8.34ms,63.96ms,98.53ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,32514634,45,4.71s,64.87ms,0.00ns,67.53ms,8.47ms,59.26ms,94.83ms
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,151522,2884,4.56s,1.04ms,1.00ns,1.04ms,17.10us,1.01ms,1.37ms
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,248919,730,4.56s,4.11ms,100.00ns,4.11ms,31.50us,4.04ms,4.26ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,7384531,57,4.61s,52.97ms,0.00ns,53.28ms,1.01ms,52.11ms,57.50ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,7384531,297,4.56s,10.09ms,0.00ns,10.10ms,74.81us,9.97ms,10.38ms
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,23952,139990,4.62s,21.04us,0.00ns,21.34us,11.75us,19.83us,4.20ms
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,61436,30,4.61s,101.67ms,21.15us,101.67ms,135.42us,101.40ms,102.00ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,100,504410,4.83s,5.75us,0.00ns,5.81us,384.00ns,5.65us,132.95us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,200,165873,4.62s,17.81us,0.00ns,17.94us,0.96us,17.61us,210.90us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),javascript/v8,25.2.1,,1000,9220,4.56s,324.59us,0.00ns,325.25us,4.35us,323.58us,555.72us
