name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,899232,93794,4.57s,31.84us,0.00ns,31.95us,801.00ns,30.79us,151.01us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,899232,66979,4.57s,44.48us,0.00ns,44.76us,1.34us,42.55us,159.70us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,1570556,66992,4.56s,44.63us,0.00ns,44.75us,765.00ns,43.90us,159.65us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,1570556,36919,4.56s,81.27us,0.00ns,81.23us,3.89us,74.83us,207.41us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,813478,164795,4.57s,18.17us,0.00ns,18.17us,563.00ns,17.69us,131.82us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,899232,5584,4.51s,536.95us,1.00ns,537.25us,3.77us,530.93us,708.65us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,899232,2307,4.51s,1.30ms,0.00ns,1.30ms,11.96us,1.28ms,1.44ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,1570556,2387,4.51s,1.25ms,0.00ns,1.26ms,20.06us,1.23ms,1.40ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,1570556,580,4.51s,5.17ms,231.00ns,5.18ms,42.37us,5.08ms,5.35ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,813478,10105,4.51s,296.56us,0.00ns,296.88us,2.02us,294.83us,410.77us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,268796,249,4.56s,12.06ms,0.00ns,12.07ms,14.41us,12.04ms,12.19ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,268796,153,4.56s,19.71ms,0.00ns,19.72ms,24.75us,19.67ms,19.83ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,,4061,4.51s,679.97us,0.00ns,685.22us,18.24us,668.15us,826.45us
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,,2780,4.51s,1.01ms,2.00ns,1.02ms,23.64us,1.00ms,1.23ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.47 2025-10-21,,32514634,55,4.56s,54.64ms,0.00ns,54.63ms,84.09us,54.38ms,54.89ms
