name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,899232,25508,4.51s,117.20us,0.00ns,117.58us,2.55us,113.01us,237.72us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,899232,3518,4.51s,852.51us,2.00ns,852.77us,8.21us,827.64us,1.02ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,1570556,5,5.72s,707.86ms,0.00ns,708.06ms,466.03us,707.63ms,708.96ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,1570556,5,5.92s,733.68ms,0.00ns,733.54ms,259.56us,733.15ms,733.81ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,813478,226,4.51s,13.22ms,172.00ns,13.28ms,148.25us,13.01ms,13.60ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,899232,3063,4.51s,0.98ms,0.00ns,0.98ms,6.49us,0.96ms,1.09ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,899232,575,4.51s,5.22ms,0.00ns,5.22ms,52.23us,5.06ms,5.38ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,1570556,4,5.21s,866.23ms,465.80us,866.16ms,798.73us,865.07ms,867.13ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,1570556,4,5.62s,927.10ms,22.33us,927.10ms,390.28us,926.55ms,927.65ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,813478,34,4.56s,89.02ms,4.41us,89.03ms,103.63us,88.85ms,89.23ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,268796,14,4.51s,214.38ms,28.04us,214.42ms,200.69us,214.14ms,214.74ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,268796,3,7.37s,1.47s,0.00ns,1.47s,723.38us,1.46s,1.47s
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,,23566,4.51s,120.41us,0.00ns,120.82us,2.77us,116.69us,240.19us
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,,18054,4.51s,159.14us,0.00ns,159.70us,3.57us,156.27us,287.50us
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,32514634,13,4.91s,243.69ms,0.00ns,243.67ms,222.51us,243.37ms,244.03ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,32514634,132,4.56s,22.77ms,221.00ns,22.78ms,38.99us,22.73ms,22.98ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,,1000000,3.04s,1.19us,0.00ns,1.19us,88.00ns,1.11us,67.01us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,150600,52,4.56s,58.21ms,2.03us,58.24ms,189.49us,57.96ms,58.85ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,,104667,4.57s,25.56us,0.00ns,25.65us,819.00ns,24.84us,141.86us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,107,81419,4.56s,36.62us,0.00ns,36.81us,872.00ns,36.24us,149.86us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,102,86103,4.57s,34.60us,0.00ns,34.81us,901.00ns,33.89us,203.34us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,10001,10,4.66s,308.62ms,1.22us,308.65ms,122.24us,308.50ms,308.97ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,1913704,336,4.56s,8.95ms,301.00ns,8.95ms,73.42us,8.73ms,9.13ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,,1000000,4.49s,2.24us,0.00ns,2.25us,114.00ns,2.12us,67.80us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),pcre2,10.47 2025-10-21,,76401,4046,4.51s,740.62us,1.00ns,741.56us,7.02us,729.36us,852.50us
