name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,899232,9910,4.51s,301.67us,0.00ns,301.88us,2.53us,298.63us,420.18us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,899232,1947,4.51s,1.54ms,0.00ns,1.54ms,5.73us,1.53ms,1.68ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,1570556,6594,4.51s,453.44us,4.00ns,454.02us,4.45us,443.98us,568.54us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,1570556,226,4.56s,13.33ms,71.00ns,13.33ms,54.34us,13.20ms,13.47ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,813478,29141,4.52s,101.59us,0.00ns,102.10us,2.25us,98.96us,216.70us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,899232,4013,4.51s,746.64us,0.00ns,746.92us,3.19us,742.57us,861.56us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,899232,422,4.51s,7.11ms,13.00ns,7.11ms,11.97us,7.09ms,7.23ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,1570556,227,4.56s,13.25ms,0.00ns,13.25ms,34.11us,13.18ms,13.41ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,1570556,165,4.56s,18.22ms,0.00ns,18.23ms,45.44us,18.12ms,18.39ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),perl,5.42.0,,813478,895,4.51s,3.35ms,0.00ns,3.35ms,21.30us,3.27ms,3.46ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),perl,5.42.0,,268796,35,4.61s,86.52ms,0.00ns,86.55ms,244.22us,86.07ms,87.30ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),perl,5.42.0,,32514634,10,4.81s,313.65ms,60.01us,313.64ms,297.93us,313.22ms,314.23ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),perl,5.42.0,,32514634,13,5.06s,247.54ms,0.00ns,247.61ms,287.61us,247.26ms,248.20ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),perl,5.42.0,,150600,26,4.71s,119.76ms,1.17us,119.75ms,104.53us,119.52ms,120.04ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),perl,5.42.0,,107,329056,4.62s,8.48us,0.00ns,8.51us,292.00ns,7.86us,78.49us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),perl,5.42.0,,102,340392,4.62s,8.20us,0.00ns,8.21us,337.00ns,7.68us,124.40us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),perl,5.42.0,,10001,71,4.56s,42.44ms,0.00ns,42.51ms,140.33us,42.40ms,43.11ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),perl,5.42.0,,1913704,40,4.61s,76.67ms,2.29us,76.62ms,320.75us,75.88ms,77.68ms
