name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,899232,13106,4.56s,228.30us,0.00ns,228.50us,2.18us,226.52us,343.20us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,899232,1155,4.56s,2.60ms,0.00ns,2.60ms,16.05us,2.57ms,2.75ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,1570556,13739,4.56s,217.36us,0.00ns,217.81us,4.96us,215.16us,731.31us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,1570556,967,4.56s,3.09ms,0.00ns,3.10ms,40.66us,3.08ms,3.42ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,813478,43516,4.56s,68.42us,0.00ns,68.60us,2.78us,67.74us,575.04us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,899232,1642,4.56s,1.83ms,1.00ns,1.83ms,5.49us,1.82ms,1.94ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,899232,140,4.56s,21.54ms,0.98us,21.54ms,106.52us,21.27ms,21.85ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,1570556,934,4.56s,3.21ms,7.00ns,3.21ms,11.99us,3.19ms,3.33ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,1570556,117,4.56s,25.67ms,0.00ns,25.68ms,60.96us,25.55ms,25.89ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),python/re,3.13.7,,813478,4390,4.56s,682.76us,0.00ns,683.07us,3.47us,680.02us,797.97us
