name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,899232,11837,4.56s,252.56us,0.00ns,253.09us,6.38us,250.72us,898.59us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,899232,10094,4.56s,292.43us,0.00ns,296.85us,10.32us,284.83us,420.30us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,1570556,8995,4.56s,330.69us,0.00ns,333.00us,10.61us,327.73us,500.35us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,1570556,7945,4.56s,376.79us,0.00ns,377.14us,2.93us,373.08us,496.57us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,813478,26657,4.56s,112.00us,0.00ns,112.24us,4.01us,111.81us,730.10us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,899232,1036,4.56s,2.90ms,20.00ns,2.90ms,13.09us,2.87ms,3.00ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,899232,246,4.56s,12.22ms,794.00ns,12.22ms,48.90us,12.10ms,12.37ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,1570556,563,4.56s,5.35ms,0.00ns,5.33ms,42.43us,5.17ms,5.46ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,1570556,168,4.56s,17.89ms,176.00ns,17.89ms,42.79us,17.78ms,18.00ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,813478,3311,4.56s,901.27us,0.00ns,905.86us,15.60us,896.07us,1.13ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,268796,13,4.71s,232.95ms,0.00ns,232.93ms,203.30us,232.56ms,233.28ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,268796,12,4.76s,261.48ms,22.46us,261.53ms,159.59us,261.34ms,261.87ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,250,4.56s,11.52ms,617.00ns,12.01ms,1.20ms,11.32ms,17.75ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,95,4.56s,31.34ms,0.00ns,31.77ms,1.32ms,30.90ms,38.00ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,32514634,8,4.96s,397.94ms,15.99us,399.78ms,3.20ms,397.68ms,405.32ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,32514634,10,4.71s,301.96ms,2.82us,302.02ms,177.46us,301.83ms,302.42ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,15648,4.56s,185.01us,1.00ns,189.58us,25.98us,178.97us,1.05ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,150600,31,4.66s,98.33ms,0.00ns,98.35ms,102.45us,98.18ms,98.64ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,981,4.56s,3.04ms,0.00ns,3.05ms,223.37us,2.87ms,4.63ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,107,194581,4.62s,15.09us,0.00ns,15.14us,1.40us,14.76us,559.56us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,102,201102,4.62s,14.62us,0.00ns,14.66us,1.41us,14.29us,587.37us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,10001,32,4.71s,96.69ms,74.00ns,96.71ms,44.88us,96.68ms,96.86ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,1913704,59,4.61s,50.99ms,0.00ns,51.24ms,546.08us,50.72ms,52.46ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,,9482,4.56s,305.68us,1.00ns,313.22us,35.63us,294.16us,1.25ms
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,76401,863,4.56s,3.48ms,0.00ns,3.48ms,11.37us,3.44ms,3.60ms
curated/08-words/all-russian,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,123942,986,4.56s,3.04ms,21.00ns,3.04ms,11.28us,3.02ms,3.16ms
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,76401,1504,4.56s,1.99ms,5.00ns,1.99ms,16.78us,1.96ms,2.12ms
curated/08-words/long-russian,count-spans,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,123942,2415,4.56s,1.24ms,0.00ns,1.24ms,5.22us,1.23ms,1.36ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),python/regex,2025.11.3,,32514634,11,4.91s,280.21ms,0.00ns,280.23ms,152.01us,279.95ms,280.48ms
