name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,899232,43151,4.56s,69.12us,0.00ns,69.49us,2.52us,64.95us,201.32us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,899232,9224,4.51s,324.97us,0.00ns,325.23us,3.35us,321.10us,486.64us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,1570556,1535,4.51s,1.95ms,0.00ns,1.95ms,6.21us,1.95ms,2.10ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,1570556,1902,4.51s,1.58ms,0.00ns,1.58ms,4.43us,1.57ms,1.69ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,813478,10773,4.51s,278.05us,0.00ns,278.46us,2.22us,275.59us,392.72us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,899232,3238,4.51s,925.76us,0.00ns,926.47us,4.90us,923.18us,1.10ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,899232,3236,4.51s,926.77us,0.00ns,927.21us,3.85us,923.75us,1.04ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,1570556,1875,4.51s,1.60ms,0.00ns,1.60ms,5.23us,1.59ms,1.71ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,1570556,1863,4.51s,1.61ms,0.00ns,1.61ms,4.45us,1.61ms,1.72ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,813478,3726,4.51s,805.03us,0.00ns,805.21us,3.50us,802.90us,920.48us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,268796,941,4.51s,3.19ms,0.00ns,3.19ms,23.86us,3.13ms,3.37ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,1845,4.51s,1.01ms,0.00ns,1.00ms,16.52us,0.96ms,1.09ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,32514634,54,4.56s,55.98ms,5.67us,55.99ms,73.26us,55.87ms,56.19ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,32514634,93,4.56s,32.18ms,0.00ns,32.35ms,301.64us,32.07ms,33.06ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,196809,4.62s,6.80us,0.00ns,6.81us,223.00ns,6.33us,72.01us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,150600,25,4.71s,121.16ms,0.00ns,122.04ms,1.23ms,120.98ms,123.85ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,11716,4.51s,137.31us,0.00ns,137.61us,3.94us,126.51us,206.75us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,107,1000000,934.92ms,287.00ns,0.00ns,288.00ns,25.00ns,281.00ns,7.28us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,102,1000000,0.98s,289.00ns,0.00ns,290.00ns,34.00ns,282.00ns,22.47us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,10001,154839,4.57s,19.32us,0.00ns,19.34us,535.00ns,19.29us,136.16us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,1913704,189,4.56s,15.94ms,0.00ns,15.95ms,110.42us,15.77ms,16.42ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,147985,4.61s,13.57us,0.00ns,13.61us,426.00ns,13.01us,129.93us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,76401,2774,4.51s,1.08ms,11.00ns,1.08ms,19.07us,1.05ms,1.19ms
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,76401,37889,4.56s,79.01us,0.00ns,79.15us,1.09us,78.79us,194.50us
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,32514634,54,4.56s,56.00ms,1.45us,56.01ms,76.29us,55.86ms,56.17ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,32514634,97,4.56s,30.91ms,0.00ns,30.93ms,102.10us,30.74ms,31.41ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,16320,4.51s,68.61us,1.00ns,68.73us,2.53us,61.29us,136.06us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,119212,4.57s,8.67us,0.00ns,8.69us,211.00ns,8.12us,15.31us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,151522,10210,4.51s,293.38us,0.00ns,293.82us,3.70us,289.16us,505.40us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,248919,65,4.56s,41.53ms,0.00ns,46.36ms,9.12ms,34.97ms,59.36ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,7384531,32,4.66s,94.94ms,336.24us,95.21ms,1.04ms,93.97ms,97.07ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,7384531,420,4.56s,7.14ms,48.00ns,7.16ms,40.19us,7.11ms,7.31ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,10010,4.51s,92.83us,1.00ns,92.86us,1.83us,88.28us,158.72us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,6099,4.51s,121.14us,0.00ns,121.24us,2.89us,113.88us,188.04us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,23952,16262,4.51s,184.26us,0.00ns,184.44us,2.67us,178.10us,353.86us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,184143,4.57s,8.58us,0.00ns,8.61us,422.00ns,8.04us,124.77us
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,61436,290,4.56s,10.34ms,15.00ns,10.35ms,35.93us,10.28ms,10.56ms
curated/12-dictionary/compile-single,compile,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,,453,4.51s,3.99ms,0.00ns,3.99ms,24.34us,3.87ms,4.12ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,100,298988,4.62s,9.97us,0.00ns,10.01us,341.00ns,9.85us,123.68us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,200,101545,4.57s,29.43us,0.00ns,29.51us,565.00ns,29.22us,144.10us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),re2,2025-11-05,,1000,5633,4.51s,532.38us,0.00ns,532.54us,2.88us,530.73us,649.68us
