name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,899232,16598,4.51s,180.31us,0.00ns,180.71us,1.91us,179.41us,295.45us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,899232,3926,4.51s,764.08us,2.00ns,764.18us,5.35us,751.59us,881.45us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,1570556,9583,4.51s,312.47us,0.00ns,313.01us,1.91us,311.67us,427.77us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,1570556,628,4.51s,4.76ms,52.00ns,4.78ms,67.61us,4.68ms,5.17ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,813478,18868,4.51s,158.79us,0.00ns,158.97us,2.13us,156.97us,273.84us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,899232,5130,4.51s,581.16us,2.00ns,584.78us,8.50us,573.58us,698.34us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,899232,919,4.51s,3.26ms,0.00ns,3.27ms,25.90us,3.21ms,3.43ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,1570556,411,4.51s,7.29ms,0.00ns,7.31ms,55.69us,7.23ms,7.58ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,1570556,207,4.56s,14.56ms,0.00ns,14.55ms,119.81us,14.18ms,14.82ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),regress,0.9.1,,813478,954,4.51s,3.14ms,16.00ns,3.15ms,34.42us,3.07ms,3.33ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),regress,0.9.1,,268796,21,4.66s,145.06ms,0.00ns,145.03ms,408.33us,144.28ms,145.65ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),regress,0.9.1,,268796,22,4.76s,142.92ms,11.76us,142.86ms,283.88us,142.28ms,143.35ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),regress,0.9.1,,,2581,4.51s,1.06ms,0.00ns,1.12ms,117.13us,1.03ms,1.65ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),regress,0.9.1,,,2629,4.51s,1.05ms,0.00ns,1.10ms,96.83us,1.03ms,1.61ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),regress,0.9.1,,32514634,4,5.36s,884.39ms,126.21us,884.36ms,349.59us,883.86ms,884.82ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),regress,0.9.1,,32514634,63,4.61s,47.98ms,0.00ns,48.00ms,107.78us,47.83ms,48.61ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),regress,0.9.1,,,822086,4.79s,3.36us,0.00ns,3.37us,224.00ns,3.06us,119.71us
