name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,899232,261,4.56s,11.53ms,0.00ns,11.54ms,20.19us,11.48ms,11.63ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,899232,184,4.51s,16.34ms,169.00ns,16.34ms,64.07us,16.04ms,16.51ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,1570556,235,4.56s,12.77ms,0.00ns,12.77ms,69.60us,12.52ms,12.97ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,813478,628,4.51s,4.78ms,129.00ns,4.78ms,38.27us,4.65ms,4.88ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,899232,121,4.56s,24.89ms,0.00ns,24.91ms,222.30us,24.39ms,25.53ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,899232,82,4.56s,37.00ms,326.00ns,36.99ms,206.84us,36.54ms,37.48ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,1570556,106,4.56s,28.34ms,10.93us,28.34ms,186.06us,27.92ms,28.78ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,813478,272,4.51s,11.05ms,805.00ns,11.04ms,201.47us,10.45ms,11.47ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,268796,11,4.81s,276.97ms,0.00ns,277.01ms,157.05us,276.80ms,277.31ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,,2955,4.51s,331.27us,0.00ns,331.68us,4.57us,301.42us,445.69us
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,32514634,3,5.16s,1.02s,0.00ns,1.02s,224.46us,1.02s,1.02s
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,32514634,6,4.81s,529.86ms,13.87us,529.81ms,204.25us,529.46ms,530.11ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,,1000000,4.64s,2.12us,0.00ns,2.12us,163.00ns,1.78us,117.53us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,150600,11,4.86s,285.69ms,0.00ns,285.69ms,153.41us,285.38ms,285.97ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,,7068,4.51s,44.30us,0.00ns,44.46us,1.88us,41.92us,162.40us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.8,,107,539530,4.68s,5.52us,0.00ns,5.53us,282.00ns,5.31us,174.26us
