name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,899232,105219,4.57s,28.49us,0.00ns,28.48us,630.00ns,27.32us,147.08us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,899232,37613,4.56s,79.58us,0.00ns,79.72us,1.13us,79.24us,193.67us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,1570556,72707,4.56s,41.12us,0.00ns,41.23us,828.00ns,40.06us,161.09us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,1570556,17202,4.51s,174.06us,0.00ns,174.37us,1.85us,171.86us,288.10us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,813478,188067,4.57s,15.87us,0.00ns,15.92us,581.00ns,15.64us,133.41us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,899232,42666,4.56s,69.90us,0.00ns,70.28us,1.21us,69.49us,187.42us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,899232,9872,4.56s,302.79us,0.00ns,303.89us,4.54us,299.13us,416.61us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,1570556,13167,4.56s,227.54us,0.00ns,227.81us,2.05us,224.44us,343.31us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,1570556,3034,4.51s,0.99ms,7.00ns,0.99ms,8.95us,0.97ms,1.11ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,813478,53624,4.56s,55.79us,0.00ns,55.91us,1.02us,55.47us,229.08us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,268796,1658,4.51s,1.81ms,57.00ns,1.81ms,17.86us,1.76ms,1.90ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,268796,1687,4.51s,1.78ms,0.00ns,1.78ms,17.95us,1.73ms,1.91ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,,2139,4.51s,1.29ms,0.00ns,1.29ms,14.39us,1.26ms,1.42ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),rust/regex,1.12.2,,,575,4.51s,4.99ms,0.00ns,5.00ms,26.12us,4.93ms,5.16ms
