name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,899232,104778,4.57s,28.57us,0.00ns,28.60us,736.00ns,26.08us,144.49us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,899232,28009,4.51s,106.65us,0.00ns,107.08us,2.25us,104.91us,224.27us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,1570556,61302,4.56s,48.76us,0.00ns,48.90us,824.00ns,45.96us,164.98us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,1570556,12806,4.51s,233.52us,0.00ns,234.23us,3.40us,231.75us,349.61us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,813478,189054,4.57s,15.80us,0.00ns,15.84us,560.00ns,15.65us,185.49us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,899232,53926,4.56s,55.37us,0.00ns,55.60us,1.43us,53.80us,174.23us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,899232,9608,4.51s,310.48us,1.00ns,312.23us,6.21us,303.32us,422.87us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,1570556,5376,4.51s,557.92us,2.00ns,558.09us,5.68us,542.32us,672.65us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,1570556,898,4.51s,3.34ms,2.00ns,3.34ms,13.08us,3.32ms,3.50ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,813478,72339,4.56s,41.35us,0.00ns,41.44us,866.00ns,40.14us,158.72us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,268796,1747,4.51s,1.72ms,0.00ns,1.72ms,12.59us,1.70ms,1.83ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,268796,5,5.11s,623.56ms,0.00ns,623.54ms,97.84us,623.38ms,623.68ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,1772,4.51s,1.52ms,74.00ns,1.53ms,30.73us,1.48ms,1.63ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,589,4.51s,4.85ms,0.00ns,4.86ms,36.99us,4.81ms,5.49ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,32514634,22,4.66s,139.52ms,12.56us,139.50ms,226.27us,139.05ms,139.90ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,32514634,116,4.56s,25.91ms,278.00ns,25.92ms,51.31us,25.82ms,26.10ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,60877,4.56s,42.73us,0.00ns,42.90us,1.36us,39.81us,160.24us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,150600,5,5.01s,624.60ms,0.00ns,624.84ms,789.99us,623.91ms,626.07ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,12657,4.51s,218.19us,0.00ns,218.93us,4.29us,211.19us,354.24us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,107,1000000,934.76ms,220.00ns,0.00ns,223.00ns,21.00ns,215.00ns,5.25us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,102,1000000,783.92ms,198.00ns,0.00ns,201.00ns,22.00ns,194.00ns,7.27us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,10001,185755,4.57s,15.77us,0.00ns,16.12us,748.00ns,15.72us,133.29us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,1913704,158,4.56s,18.99ms,327.00ns,19.00ms,64.15us,18.85ms,19.23ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,120264,4.57s,16.80us,0.00ns,16.93us,687.00ns,16.22us,133.53us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,76401,5155,4.51s,581.20us,0.00ns,581.97us,6.03us,573.06us,765.13us
curated/08-words/all-russian,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,123942,184,4.56s,16.33ms,5.00ns,16.33ms,13.68us,16.32ms,16.44ms
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,76401,33022,4.51s,90.66us,0.00ns,90.82us,1.20us,90.60us,226.65us
curated/08-words/long-russian,count-spans,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,123942,1140,4.51s,2.63ms,24.00ns,2.63ms,15.74us,2.59ms,2.74ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,32514634,68,4.61s,44.58ms,6.26us,44.61ms,155.93us,44.40ms,45.42ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,32514634,131,4.56s,22.95ms,0.00ns,22.95ms,35.26us,22.86ms,23.09ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,28299,4.51s,66.02us,0.00ns,66.39us,1.75us,61.84us,183.33us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,129653,4.57s,15.96us,0.00ns,16.00us,499.00ns,14.98us,132.45us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,151522,12592,4.51s,237.91us,0.00ns,238.22us,1.98us,237.02us,365.99us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,248919,6344,4.51s,472.60us,0.00ns,472.87us,3.64us,469.81us,640.13us
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,7384531,10,4.76s,322.21ms,13.61us,322.20ms,217.50us,321.81ms,322.57ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,7384531,352,4.56s,8.53ms,21.00ns,8.54ms,10.53us,8.53ms,8.65ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,54167,4.56s,35.71us,0.00ns,35.80us,0.97us,33.71us,151.92us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,36241,4.56s,62.84us,0.00ns,62.83us,1.41us,58.66us,208.50us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,23952,9884,4.51s,304.18us,0.00ns,303.48us,3.09us,298.75us,420.60us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,99395,4.57s,13.81us,0.00ns,13.84us,532.00ns,12.35us,79.18us
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,61436,2,6.27s,2.05s,232.85us,2.05s,232.85us,2.05s,2.05s
curated/12-dictionary/compile-single,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,404,4.51s,6.63ms,260.00ns,6.53ms,211.78us,5.94ms,6.93ms
curated/13-noseyparker/single,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,32514634,1,6.67s,3.32s,0.00ns,3.32s,0.00ns,3.32s,3.32s
curated/13-noseyparker/compile-single,compile,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,,720,4.51s,3.64ms,27.00ns,3.65ms,19.41us,3.61ms,3.94ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,100,430270,4.68s,6.91us,0.00ns,6.95us,325.00ns,6.86us,120.98us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,200,118121,4.57s,25.27us,0.00ns,25.37us,830.00ns,25.20us,143.61us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),rust/regexold,1.7.3,,1000,5089,4.51s,588.24us,0.00ns,589.56us,6.97us,587.06us,703.64us
